Macro Recording Summary
=======================
Total Duration: 39602.135ms (39.60s)
Total Events: 367

Event Log:
--------------------------------------------------------------------------------
 36896.488ms | MOUSE UP   | left at (867, 1146) (held 51.537ms)
 36947.841ms | MOUSE DOWN | left at (867, 1146)
 36949.350ms | KEY DOWN   | e
 36956.296ms | KEY UP     | e (held 6.945ms)
 36973.409ms | KEY DOWN   | e
 36980.611ms | KEY UP     | e (held 7.202ms)
 36997.121ms | MOUSE UP   | left at (867, 1146) (held 49.280ms)
 36998.215ms | KEY DOWN   | e
 37004.693ms | KEY UP     | e (held 6.477ms)
 37021.870ms | KEY DOWN   | e
 37029.279ms | KEY UP     | e (held 7.409ms)
 37045.664ms | MOUSE DOWN | left at (867, 1146)
 37047.226ms | KEY DOWN   | e
 37054.118ms | KEY UP     | e (held 6.892ms)
 37071.408ms | KEY DOWN   | e
 37079.767ms | KEY UP     | e (held 8.360ms)
 37096.516ms | MOUSE UP   | left at (867, 1146) (held 50.852ms)
 37098.883ms | KEY DOWN   | e
 37106.103ms | KEY UP     | e (held 7.220ms)
 37123.674ms | KEY DOWN   | e
 37131.389ms | KEY UP     | e (held 7.714ms)
 37148.267ms | MOUSE DOWN | left at (867, 1146)
 37150.696ms | KEY DOWN   | e
 37157.631ms | KEY UP     | e (held 6.935ms)
 37175.646ms | KEY DOWN   | e
 37183.089ms | KEY UP     | e (held 7.444ms)
 37199.620ms | MOUSE UP   | left at (867, 1146) (held 51.352ms)
 37201.739ms | KEY DOWN   | e
 37208.943ms | KEY UP     | e (held 7.204ms)
 37226.513ms | KEY DOWN   | e
 37235.633ms | KEY UP     | e (held 9.119ms)
 37259.783ms | MOUSE DOWN | left at (867, 1146)
 37262.693ms | KEY DOWN   | e
 37270.760ms | KEY UP     | e (held 8.067ms)
 37288.909ms | KEY DOWN   | e
 37295.957ms | KEY UP     | e (held 7.048ms)
 37313.113ms | MOUSE UP   | left at (867, 1146) (held 53.330ms)
 37315.093ms | KEY DOWN   | e
 37323.524ms | KEY UP     | e (held 8.431ms)
 37340.310ms | KEY DOWN   | e
 37348.068ms | KEY UP     | e (held 7.758ms)
 37364.336ms | MOUSE DOWN | left at (867, 1146)
 37366.191ms | KEY DOWN   | e
 37374.575ms | KEY UP     | e (held 8.384ms)
 37392.346ms | KEY DOWN   | e
 37399.907ms | KEY UP     | e (held 7.561ms)
 37416.360ms | MOUSE UP   | left at (867, 1146) (held 52.024ms)
 37418.033ms | KEY DOWN   | e
 37425.416ms | KEY UP     | e (held 7.383ms)
 37442.824ms | KEY DOWN   | e
 37450.531ms | KEY UP     | e (held 7.707ms)
 37468.869ms | KEY DOWN   | e
 37476.370ms | KEY UP     | e (held 7.502ms)
 37493.240ms | KEY DOWN   | e
 37500.957ms | KEY UP     | e (held 7.717ms)
 37518.350ms | KEY DOWN   | e
 37525.491ms | KEY UP     | e (held 7.141ms)
 37542.728ms | KEY DOWN   | e
 37551.098ms | KEY UP     | e (held 8.369ms)
 37568.164ms | KEY DOWN   | e
 37575.687ms | KEY UP     | e (held 7.523ms)
 37594.307ms | KEY DOWN   | e
 37601.777ms | KEY UP     | e (held 7.469ms)
 37619.368ms | KEY DOWN   | e
 37627.594ms | KEY UP     | e (held 8.226ms)
 37645.436ms | KEY DOWN   | e
 37652.280ms | KEY UP     | e (held 6.844ms)
 37669.333ms | KEY DOWN   | e
 37677.860ms | KEY UP     | e (held 8.527ms)
 37695.282ms | KEY DOWN   | e
 37702.153ms | KEY UP     | e (held 6.871ms)
 37719.258ms | KEY DOWN   | e
 37726.395ms | KEY UP     | e (held 7.138ms)
 37743.234ms | KEY DOWN   | e
 37750.301ms | KEY UP     | e (held 7.067ms)
 37768.020ms | KEY DOWN   | e
 37774.695ms | KEY UP     | e (held 6.675ms)
 37792.147ms | KEY DOWN   | e
 37799.480ms | KEY UP     | e (held 7.334ms)
 37816.601ms | KEY DOWN   | e
 37823.620ms | KEY UP     | e (held 7.019ms)
 37840.480ms | KEY DOWN   | e
 37847.190ms | KEY UP     | e (held 6.710ms)
 37864.784ms | KEY DOWN   | e
 37872.100ms | KEY UP     | e (held 7.316ms)
 37889.141ms | KEY DOWN   | e
 37896.086ms | KEY UP     | e (held 6.946ms)
 37913.324ms | KEY DOWN   | e
 37920.560ms | KEY UP     | e (held 7.236ms)
 37937.795ms | KEY DOWN   | e
 37944.886ms | KEY UP     | e (held 7.091ms)
 37962.078ms | KEY DOWN   | e
 37968.613ms | KEY UP     | e (held 6.534ms)
 37986.034ms | KEY DOWN   | e
 37993.018ms | KEY UP     | e (held 6.984ms)
 38009.980ms | KEY DOWN   | e
 38017.249ms | KEY UP     | e (held 7.268ms)
 38034.243ms | KEY DOWN   | e
 38040.944ms | KEY UP     | e (held 6.701ms)
 38058.964ms | KEY DOWN   | e
 38066.224ms | KEY UP     | e (held 7.260ms)
 38083.258ms | KEY DOWN   | e
 38090.284ms | KEY UP     | e (held 7.026ms)
 38107.259ms | KEY DOWN   | e
 38114.787ms | KEY UP     | e (held 7.528ms)
 38132.087ms | KEY DOWN   | e
 38138.751ms | KEY UP     | e (held 6.664ms)
 38155.916ms | KEY DOWN   | e
 38163.071ms | KEY UP     | e (held 7.155ms)
 38180.337ms | KEY DOWN   | e
 38187.161ms | KEY UP     | e (held 6.824ms)
 38204.483ms | KEY DOWN   | e
 38211.681ms | KEY UP     | e (held 7.198ms)
 38228.624ms | KEY DOWN   | e
 38235.362ms | KEY UP     | e (held 6.738ms)
 38253.211ms | KEY DOWN   | e
 38261.613ms | KEY UP     | e (held 8.402ms)
 38278.925ms | KEY DOWN   | e
 38286.066ms | KEY UP     | e (held 7.141ms)
 38303.094ms | KEY DOWN   | e
 38310.191ms | KEY UP     | e (held 7.097ms)
 38327.102ms | KEY DOWN   | e
 38334.306ms | KEY UP     | e (held 7.204ms)
 38351.445ms | KEY DOWN   | e
